DATE,TMAX,AWND,PRCP,EVAP,DISTANCE_TO_FIRE_KM,RISK_LEVEL,tile_id,bbox
2022-06-01,14.1,41.8,0.0,3.13,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-02,14.3,39.0,0.0,2.8,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-03,15.4,39.6,0.0,2.45,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-04,15.9,25.0,0.2,2.38,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-05,16.0,22.0,0.2,2.41,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-06,15.6,40.5,0.0,2.71,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-07,14.9,43.5,0.0,3.24,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-08,16.1,38.5,0.0,2.44,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-09,15.6,43.8,0.0,3.09,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-10,16.4,48.4,0.0,2.71,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-11,16.5,41.2,0.1,2.18,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-12,16.8,33.3,0.0,1.96,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-13,16.6,49.6,0.0,3.32,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-14,15.1,53.3,0.0,3.57,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-15,15.1,45.9,0.0,3.41,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-16,15.8,49.0,0.0,2.86,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-17,15.8,42.7,0.0,4.33,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-18,15.8,35.9,0.0,3.84,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-19,15.4,48.8,0.0,4.08,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-20,15.2,48.0,0.0,3.38,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-21,15.8,41.9,0.0,3.53,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-22,15.9,19.5,0.0,4.0,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-23,16.2,20.0,0.0,2.85,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-24,16.1,22.6,0.0,3.5,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-25,15.9,19.9,0.0,3.71,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-26,15.8,23.3,0.0,2.75,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-27,15.9,31.3,0.0,2.88,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-28,16.5,41.6,0.0,3.48,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-29,16.2,39.8,0.0,3.39,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-06-30,15.8,32.7,0.2,2.71,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-01,15.7,32.3,0.0,2.99,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-02,15.9,32.2,0.2,2.93,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-03,16.2,36.9,0.0,3.48,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-04,17.4,24.2,0.0,3.55,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-05,17.0,21.1,0.1,2.81,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-06,17.4,17.9,0.2,3.24,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-07,17.2,25.0,0.0,3.34,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-08,17.6,33.1,0.0,3.13,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-09,17.4,31.1,0.0,2.96,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-10,17.0,38.0,0.0,3.25,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-11,17.5,35.4,0.0,3.29,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-12,17.5,24.7,0.0,3.11,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-13,17.5,21.7,0.0,2.85,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-14,16.7,37.6,0.0,3.16,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-15,16.9,45.9,0.0,3.63,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-16,17.0,41.8,0.0,2.88,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-17,16.8,41.5,0.0,3.08,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
2022-07-18,16.7,38.6,0.0,3.17,1000.0,0,CA_tile_00_2022,"(-124.48, 32.53, -121.8925, 34.9)"
